,answers,contexts
11,"coronavirus seems to be spreading easily and sustainably in the community (“community spread”) in many affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.","People also may be able to be infected if they touch an infected droplet on a surface and then touch their own nose, mouth, or eyes."
12,A person infected with coronavirus — even one with no symptoms — may emit aerosols when they talk or breathe. Aerosols are infectious viral particles that can float or drift around in the air for up to three hours. Another person can breathe in these aerosols and become infected with the coronavirus. This is why everyone should cover their nose and mouth when they go out in public.,"Coronavirus can also spread from contact with infected surfaces or objects. For example, a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes."
13,"Coronavirus can also spread from contact with infected surfaces or objects. For example, a person can get coronavirus by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes.",A person infected with coronavirus — even one with no symptoms — may emit aerosols when they talk or breathe. Aerosols are infectious viral particles that can float or drift around in the air for up to three hours. Another person can breathe in these aerosols and become infected with the coronavirus. This is why everyone should cover their nose and mouth when they go out in public.
14,"The virus may be shed in saliva, semen, and feces; whether it is shed in vaginal fluids isn't known. Kissing can transmit the virus. Transmission of the virus through feces, or during vaginal or anal intercourse or oral sex, appears to be extremely unlikely at this time.","Coronavirus can also spread from contact with infected surfaces or objects. For example, a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes."
15,Coronavirus may also spread when someone breathes in tiny airborne particles (called aerosols) that contain the virus. People with coronavirus can send aerosols into the air when they talk or breathe. These can stay in the air for up to 3 hours.,"The virus may be shed in saliva, semen, and feces; whether it is shed in vaginal fluids isn't known. Kissing can transmit the virus. Transmission of the virus through feces, or during vaginal or anal intercourse or oral sex, appears to be extremely unlikely at this time."
16,"People can catch coronavirus from others who have the virus even if they don't have any symptoms. This happens when an infected person sneezes or coughs, sending tiny droplets into the air. These can land in the nose or mouth of someone nearby.",Coronavirus may also spread when someone breathes in tiny airborne particles (called aerosols) that contain the virus. People with COVID-19 can send aerosols into the air when they talk or breathe. These can stay in the air for up to 3 hours.
17,"The coronavirus is thought to spread mainly from person to person. This can happen between people who are in close contact with one another. Droplets that are produced when an infected person coughs or sneezes may land in the mouths or noses of people who are nearby, or possibly be inhaled into their lungs.","People can catch COVID-19 from others who have the virus even if they don't have any symptoms. This happens when an infected person sneezes or coughs, sending tiny droplets into the air. These can land in the nose or mouth of someone nearby."
18,"Symptoms that have been seen in kids include: fever, belly pain, vomiting or diarrhea, neck pain, a rash, red eyes, feeling very tired, red, cracked lips, swollen hands or feet, and swollen glands (lymph nodes).","Some kids are having symptoms caused by inflammation throughout the body, sometimes several weeks after they were infected with the virus. This is called multisystem inflammatory syndrome in children (MIS-C). Doctors are trying to find out how these symptoms are related to coronavirus infection. Most kids with MIS-C get better after they get special care in the hospital, sometimes in the ICU (intensive care unit)."
19,"Some kids are having symptoms caused by inflammation throughout the body, sometimes several weeks after they were infected with the virus. This is called multisystem inflammatory syndrome in children (MIS-C). Doctors are trying to find out how these symptoms are related to coronavirus infection. Most kids with MIS-C get better after they get special care in the hospital, sometimes in the ICU (intensive care unit).","Symptoms that have been seen in kids include: fever, belly pain, vomiting or diarrhea, neck pain, a rash, red eyes, feeling very tired, red, cracked lips, swollen hands or feet, and swollen glands (lymph nodes)."
20,The virus can be more serious in some people. And some people have no symptoms at all.,"Some kids are having symptoms caused by inflammation throughout the body, sometimes several weeks after they were infected with the virus. This is called multisystem inflammatory syndrome in children (MIS-C). Doctors are trying to find out how these symptoms are related to coronavirus infection. Most kids with MIS-C get better after they get special care in the hospital, sometimes in the ICU (intensive care unit)."
21,"People with coronavirus can have a fever, cough, and trouble breathing. Some people might have: cold symptoms such as a sore throat, congestion, or a runny nose, chills, muscle pain, headache, a, loss of taste or smell, nausea or vomiting, diarrhea, tiredness.",The virus can be more serious in some people. And some people have no symptoms at all.
22,"The most common symptoms of coronavirus are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets coronavirus becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.","The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention."
23,"Recently, anosmia – loss of the sense of smell – (and in some cases the loss of the sense of taste) have been reported as a symptom of a coronavirus infection. There is already evidence from South Korea, China and Italy that patients with confirmed SARS-CoV-2 infection have developed anosmia/hyposmia, in some cases in the absence of any other symptoms.","COVID-19 can cause mild to severe respiratory illness with symptoms of fever, cough, and difficulty breathing. Other symptoms may include muscle aches/pains, fatigue, and decrease in appetite. According to CDC, headache, confusion, rhinorrhea, sore throat, hemoptysis, vomiting, and diarrhea have also been reported, but are less common (<10%). -Preliminary information suggests older adults and people with underlying health conditions or compromised immune systems are at higher risk of severe illness from this virus. CDC believes that symptoms of COVID-19 begins between 2 and 14 days after exposure."
24,"coronavirus can cause mild to severe respiratory illness with symptoms of fever, cough, and difficulty breathing. Other symptoms may include muscle aches/pains, fatigue, and decrease in appetite. According to CDC, headache, confusion, rhinorrhea, sore throat, hemoptysis, vomiting, and diarrhea have also been reported, but are less common (<10%). -Preliminary information suggests older adults and people with underlying health conditions or compromised immune systems are at higher risk of severe illness from this virus. CDC believes that symptoms of coronavirus begins between 2 and 14 days after exposure.","Recently, anosmia – loss of the sense of smell – (and in some cases the loss of the sense of taste) have been reported as a symptom of a COVID-19 infection. There is already evidence from South Korea, China and Italy that patients with confirmed SARS-CoV-2 infection have developed anosmia/hyposmia, in some cases in the absence of any other symptoms."
25,"coronavirus symptoms include: cough, fever or chills, shortness of breath or difficulty breathing, muscle or body aches, sore throat, new loss of taste or smell, diarrhea, headache, fatigue, nausea or vomiting, and congestion or runny nose. In rare cases, coronavirus can lead to severe respiratory problems, kidney failure or death.","Some people infected with the virus have no symptoms. When the virus does cause symptoms, common ones include fever, body ache, dry cough, fatigue, chills, headache, sore throat, loss of appetite, and loss of smell. In some people, COVID-19 causes more severe symptoms like high fever, severe cough, and shortness of breath, which often indicates pneumonia."
26,"Some people infected with the virus have no symptoms. When the virus does cause symptoms, common ones include fever, body ache, dry cough, fatigue, chills, headache, sore throat, loss of appetite, and loss of smell. In some people, coronavirus causes more severe symptoms like high fever, severe cough, and shortness of breath, which often indicates pneumonia.","COVID-19 symptoms include: cough, fever or chills, shortness of breath or difficulty breathing, muscle or body aches, sore throat, new loss of taste or smell, diarrhea, headache, fatigue, nausea or vomiting, and congestion or runny nose. In rare cases, COVID-19 can lead to severe respiratory problems, kidney failure or death."
27,"People with coronavirus are also experiencing neurological symptoms, gastrointestinal (GI) symptoms, or both. These may occur with or without respiratory symptoms. For example, coronavirus affects brain function in some people. Specific neurological symptoms seen in people with coronavirus include loss of smell, inability to taste, muscle weakness, tingling or numbness in the hands and feet, dizziness, confusion, delirium, seizures, and stroke. In addition, some people have gastrointestinal (GI) symptoms, such as loss of appetite, nausea, vomiting, diarrhea, and abdominal pain or discomfort associated with coronavirus. These symptoms might start before other symptoms such as fever, body ache, and cough. The virus that causes coronavirus has also been detected in stool, which reinforces the importance of hand washing after every visit to the bathroom and regularly disinfecting bathroom fixtures.","Some people infected with the virus have no symptoms. When the virus does cause symptoms, common ones include fever, body ache, dry cough, fatigue, chills, headache, sore throat, loss of appetite, and loss of smell. In some people, COVID-19 causes more severe symptoms like high fever, severe cough, and shortness of breath, which often indicates pneumonia."
28,"People with coronavirus have reported a wide range of symptoms – from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. If you have fever, cough, or other symptoms, you might have coronavirus.","People with COVID-19 have reported a wide range of symptoms – from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. If you have fever, cough, or other symptoms, you might have COVID-19."
29,"Symptoms range from none, to mild (like a common cold), to even severe symptoms that require hospitalization and can result in death. So far, deaths have been reported mainly in older adults and those with other serious medical conditions (most commonly diabetes, high blood pressure, obesity, and chronic lung conditions), but deaths have also been reported among younger adults with no known serious medical conditions. Currently, it is believed that the case fatality rate for coronavirus is between 2% to 3.4% in the U.S.","Symptoms of COVID-19 vary in severity from having no symptoms at all (being asymptomatic) to having fever, cough, sore throat, general weakness and fatigue and muscular pain and in the most severe cases, severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock, all potentially leading to death. Reports show that clinical deterioration can occur rapidly, often during the second week of disease."
30,"Symptoms of coronavirus vary in severity from having no symptoms at all (being asymptomatic) to having fever, cough, sore throat, general weakness and fatigue and muscular pain and in the most severe cases, severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock, all potentially leading to death. Reports show that clinical deterioration can occur rapidly, often during the second week of disease.","Symptoms range from none, to mild (like a common cold), to even severe symptoms that require hospitalization and can result in death. So far, deaths have been reported mainly in older adults and those with other serious medical conditions (most commonly diabetes, high blood pressure, obesity, and chronic lung conditions), but deaths have also been reported among younger adults with no known serious medical conditions. Currently, it is believed that the case fatality rate for COVID-19 is between 2% to 3.4% in the U.S."
31,"If you have a fever or any kind of respiratory difficulty such as coughing or shortness of breath, call your doctor or a health care provider and explain your symptoms over the phone before going to the doctor’s office, urgent care facility or emergency room. If you have a medical emergency such as severe shortness of breath, call 911 and let them know about your symptoms.","Symptoms of COVID-19 vary in severity from having no symptoms at all (being asymptomatic) to having fever, cough, sore throat, general weakness and fatigue and muscular pain and in the most severe cases, severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock, all potentially leading to death. Reports show that clinical deterioration can occur rapidly, often during the second week of disease."
32,"ECDC estimates that between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza infection each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected. Despite the relatively low mortality rate for seasonal influenza, many people die from the disease due to the large number of people who contract it each year. The concern about coronavirus is that, unlike influenza, there is no vaccine and no specific treatment for the disease. It also appears to be more transmissible than seasonal influenza. As it is a new virus, nobody has prior immunity, which means that the entire human population is potentially susceptible to SARS-CoV-2 infection.","ECDC estimates that between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza infection each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected. Despite the relatively low mortality rate for seasonal influenza, many people die from the disease due to the large number of people who contract it each year. The concern about COVID-19 is that, unlike influenza, there is no vaccine and no specific treatment for the disease. It also appears to be more transmissible than seasonal influenza. As it is a new virus, nobody has prior immunity, which means that the entire human population is potentially susceptible to SARS-CoV-2 infection."
33,A coronavirus infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type.,"While the viruses that cause both COVID-19 and seasonal influenza are transmitted from person-to-person and may cause similar symptoms, the two viruses are very different and do not behave in the same way."
34,"While the viruses that cause both coronavirus and seasonal influenza are transmitted from person-to-person and may cause similar symptoms, the two viruses are very different and do not behave in the same way.",A COVID-19 infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type.
35,"A study done by National Institute of Allergy and Infectious Diseases' Laboratory of Virology in the Division of Intramural Research in Hamilton, Montana helps to answer this question. The researchers used a nebulizer to blow coronaviruses into the air. They found that infectious viruses could remain in the air for up to three hours. The results of the study were published in the New England Journal of Medicine on March 17, 2020.","A study done by National Institute of Allergy and Infectious Diseases' Laboratory of Virology in the Division of Intramural Research in Hamilton, Montana helps to answer this question. The researchers used a nebulizer to blow coronaviruses into the air. They found that infectious viruses could remain in the air for up to three hours. The results of the study were published in the New England Journal of Medicine on March 17, 2020."
36,"If you must be indoors with anyone outside of your household, increase air circulation by keeping the windows open as much as possible.","Coronavirus spreads through droplets that an infected person emits through coughs or sneezes and through smaller, infectious viral particles that can drift around in the air for several hours. Outdoors, air currents can scatter and dilute the virus, making transmission less likely. You're more likely to inhale the virus indoors, with the windows closed, whether or not you have the air conditioning on."
37,"Coronavirus spreads through droplets that an infected person emits through coughs or sneezes and through smaller, infectious viral particles that can drift around in the air for several hours. Outdoors, air currents can scatter and dilute the virus, making transmission less likely. You're more likely to inhale the virus indoors, with the windows closed, whether or not you have the air conditioning on.","If you must be indoors with anyone outside of your household, increase air circulation by keeping the windows open as much as possible."
38,"We don't know for certain if the coronavirus virus spreads through air conditioning. But we do know that when it's hot and humid, people are more likely to stay indoors, with the windows closed — giving the virus more opportunity to spread.","Coronavirus spreads through droplets that an infected person emits through coughs or sneezes and through smaller, infectious viral particles that can drift around in the air for several hours. Outdoors, air currents can scatter and dilute the virus, making transmission less likely. You're more likely to inhale the virus indoors, with the windows closed, whether or not you have the air conditioning on."
39,Studies to date suggest that the virus that causes coronavirus is mainly transmitted through contact with respiratory droplets rather than through the air. See previous answer on “How does coronavirus spread?”,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. See previous answer on “How does COVID-19 spread?”
40,"Clean and disinfect frequently touched surfaces and objects, like tables, countertops, light switches, doorknobs, and cabinet handles).","Clean and disinfect frequently touched surfaces and objects, like tables, countertops, light switches, doorknobs, and cabinet handles)."
41,Adults and kids over 2 years old should wear a mask or cloth face covering when going out.,Stay at least 6 feet from people you don't live with. COVID-19 can spread before a person has symptoms and even when someone has no symptoms.
42,Stay at least 6 feet from people you don't live with. coronavirus can spread before a person has symptoms and even when someone has no symptoms.,Adults and kids over 2 years old should wear a mask or cloth face covering when going out.
43,Avoid large crowds and busy places as much as possible.,Stay at least 6 feet from people you don't live with. COVID-19 can spread before a person has symptoms and even when someone has no symptoms.
44,"Doctors and researchers are working on medicines and a vaccine for coronavirus. Most people with the illness, including children, get better with rest and fluids. People who are very ill get care in a hospital with breathing help, IV fluids, and other treatments.","Doctors and researchers are working on medicines and a vaccine for coronavirus. Most people with the illness, including children, get better with rest and fluids. People who are very ill get care in a hospital with breathing help, IV fluids, and other treatments."
45,Do not forget the importance of hand hygiene with alcohol-based hand-rub or soap and water (if hands are visibly soiled).,"Ensure shared spaces like bathrooms, and the kitchen are well ventilated. One way to do this is by keeping the windows open. Clean and disinfect the bathroom and toilet surface at least once a day using regular household soap or detergent for cleaning and then disinfecting with a regular household disinfectant containing 0.5% sodium hypochlorite."
46,"Ensure shared spaces like bathrooms, and the kitchen are well ventilated. One way to do this is by keeping the windows open. Clean and disinfect the bathroom and toilet surface at least once a day using regular household soap or detergent for cleaning and then disinfecting with a regular household disinfectant containing 0.5% sodium hypochlorite.",Do not forget the importance of hand hygiene with alcohol-based hand-rub or soap and water (if hands are visibly soiled).
47,You should limit the movement around the house of the individual who is ill and minimize shared space.,"Ensure shared spaces like bathrooms, and the kitchen are well ventilated. One way to do this is by keeping the windows open. Clean and disinfect the bathroom and toilet surface at least once a day using regular household soap or detergent for cleaning and then disinfecting with a regular household disinfectant containing 0.5% sodium hypochlorite."
48,"Washing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with coronavirus who are showing symptoms, to reduce the risk of infection through respiratory droplets.","The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands."
49,"The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands.","Washing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with COVID-19 who are showing symptoms, to reduce the risk of infection through respiratory droplets."
50,"Keep up to date on the latest coronavirus hotspots (cities or local areas where coronavirus is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching coronavirus in one of these areas."," Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections."
51," Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.","Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas."
52,"Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and coronavirus."," Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections."
53,"Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.","Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and COVID-19."
54,"Maintain at least 1 meter (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes, they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the coronavirus virus if the person coughing has the disease.","Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick."
55,Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.,"Maintain at least 1 meter (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes, they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease."
56,"Stay aware of the latest information on the coronavirus outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of coronavirus and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news.",Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.
57,"Try not to touch your eyes, nose, or mouth.","Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news."
58,Use a household cleaner or wipe to clean and disinfect surfaces and objects that people touch a lot.,"Try not to touch your eyes, nose, or mouth."
59,Wash your hands well and often. Wash for at least 20 seconds with soap and water or use hand sanitizer with at least 60% alcohol. Teach your kids to do the same.,Use a household cleaner or wipe to clean and disinfect surfaces and objects that people touch a lot.
60,Make sure your children get all their vaccinations. Protect them against illnesses like measles and the flu. Kids who have another infection may have a harder time getting better if they do get coronavirus.,Wash your hands well and often. Wash for at least 20 seconds with soap and water or use hand sanitizer with at least 60% alcohol. Teach your kids to do the same.
61,"If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",Make sure your children get all their vaccinations. Protect them against illnesses like measles and the flu. Kids who have another infection may have a harder time getting better if they do get COVID-19.
62,Wash your hands often with soap and water for at least 20 seconds.,"If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
63,"Stay home when you are sick, except to get medical care.",Wash your hands often with soap and water for at least 20 seconds.
64,Avoid close contact with people who are sick.,"Stay home when you are sick, except to get medical care."
65,You can encourage your child to help stop the spread of coronavirus by teaching them to do the same things everyone should do to stay healthy.,Avoid close contact with people who are sick.
66,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.","Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
67,"If you feel unwell, stay at home. If you develop any symptoms suggestive of coronavirus, you should immediately call your healthcare provider for advice.","Keep informed about the spread of coronavirus in your community. You can find this on your local health department's website. Follow their recommendations, especially if many people in your area have coronavirus."
68,"Keep informed about the spread of coronavirus in your community. You can find this on your local health department's website. Follow their recommendations, especially if many people in your area have coronavirus.","If you feel unwell, stay at home. If you develop any symptoms suggestive of COVID-19, you should immediately call your healthcare provider for advice."
69,Wash your hands with soap and water for at least 20 seconds.,"Keep informed about the spread of coronavirus in your community. You can find this on your local health department's website. Follow their recommendations, especially if many people in your area have coronavirus."
70,Stay one metre or more away from people to reduce the risk of spreading the virus through respiratory droplets.,Wash your hands with soap and water for at least 20 seconds.
71,"Cough or sneeze into your elbow or use a tissue. If you use a tissue, dispose of it carefully after a single use",Stay one metre or more away from people to reduce the risk of spreading the virus through respiratory droplets.
72,"Both the ill individual and you, as the caregiver, should perform hand hygiene after contact with respiratory secretions.","Cough or sneeze into your elbow or use a tissue. If you use a tissue, dispose of it carefully after a single use"
73,"When helping care for the sick individual, wear a tightly fitted medical/surgical mask that covers your nose and mouth when in the same room as the affected individual. Make sure you are careful not to touch your mask. If your mask gets wet or dirty, it should be replaced. When removing a mask, it is important to throw it away and perform hand hygiene. Dispose of any material with respiratory secretions immediately after use.","Both the ill individual and you, as the caregiver, should perform hand hygiene after contact with respiratory secretions."
74,"Whenever possible, household members should stay in a different room or maintain a distance of at least 1 meter from the ill person.","When helping care for the sick individual, wear a tightly fitted medical/surgical mask that covers your nose and mouth when in the same room as the affected individual. Make sure you are careful not to touch your mask. If your mask gets wet or dirty, it should be replaced. When removing a mask, it is important to throw it away and perform hand hygiene. Dispose of any material with respiratory secretions immediately after use."
75,"It’s crucial to practice good hygiene, respiratory etiquette and physical distancing.",Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
76,Cover your coughs and sneezes with a tissue and throw the tissue in the trash.,"It’s crucial to practice good hygiene, respiratory etiquette and physical distancing."
77,coronavirus can be spread by people who do not have symptoms and do not know that they are infected. That’s why it’s important for everyone to practice social distancing (staying at least 6 feet away from other people) and wear masks in public settings. Masks provide an extra layer to help prevent the respiratory droplets from traveling in the air and onto other people.,COVID-19 can be spread by people who do not have symptoms and do not know that they are infected. That’s why it’s important for everyone to practice social distancing (staying at least 6 feet away from other people) and wear masks in public settings. Masks provide an extra layer to help prevent the respiratory droplets from traveling in the air and onto other people.
